origin_word,chapter,deck,origin,meaning,tip,viewed
lessen,1,1,,Make or become less; diminish.,,0
suggest,1,1,,Put forward for consideration.,,0
belief,1,2,,"An acceptance that something exists or is true, especially one without proof.",,0
careful,1,2,,"Making sure of avoiding potential danger, mishap, or harm; cautious.",,0
cheerful,1,2,,Noticeably happy and optimistic.,,0
huge,1,3,,Extremely large; enormous.,,0
unusual,1,3,,Not habitually or commonly occurring or done.,,0
extensive,2,1,,Covering or affecting a large area.,,0
distinct,2,1,,Recognizably different in nature from something else of a similar type.,,0
passion,2,1,,Strong and barely controllable emotion.,,0
patron,2,2,,"A person who gives financial or other support to a person, organization, or cause.",,0
friendly,2,2,,Kind and pleasant.,,0
loyalty,2,2,,The quality of being loyal.,,0
cheat,2,3,,Act dishonestly or unfairly in order to gain an advantage.,,0
banal,2,3,,So lacking in originality as to be obvious and boring.,,0
disagreement,2,3,,Lack of consensus or approval.,,0
virtue,3,1,,Behaviour showing high moral standards.,,0
discourse,3,1,,Written or spoken communication or debate.,,0
passive,3,1,,"Accepting or allowing what happens or what others do, without active response or resistance.",,0
change,3,1,,Make or become different.,,0
inspire,3,2,,"Fill (someone) with the urge or ability to do or feel something, especially to do something creative.",,0
generosity,3,2,,The quality of being kind and generous.,,0
restore,3,2,,"Bring back or re-establish (a previous right, practice, or situation)",,0
deny,3,3,,State that one refuses to admit the truth or existence of.,,0
achieve,3,3,,"Successfully bring about or reach (a desired objective or result) by effort, skill, or courage.",,0
get,3,3,,Come to have (something); receive.,,0
remove,4,1,,Take (something) away or off from the position occupied.,,0
buoyant,4,1,,Able or tending to keep afloat or rise to the top of a liquid or gas.,,0
fantastic,4,2,,Extraordinarily good or attractive.,,0
grant,4,2,,Agree to give or allow (something requested) to.,,0
outstanding,4,2,,Exceptionally good.,,0
hate,4,3,,Feel intense dislike for.,,0
forceful,4,3,,Strong and assertive; vigorous and powerful.,,0
failure,4,3,,Lack of success.,,0
system,5,1,,A set of things working together as parts of a mechanism or an interconnecting network; a complex whole.,,0
develop,5,1,,"Grow or cause to grow and become more mature, advanced, or elaborate.",,0
admission,5,1,,A statement acknowledging the truth of something.,,0
calamity,5,2,,An event causing great and often sudden damage or distress; a disaster.,,0
deluge,5,2,,A severe flood.,,0
bad,5,2,,Of poor quality or a low standard.,,0
criticize,5,3,,Indicate the faults of (someone or something) in a disapproving way.,,0
foolish,5,3,,Lacking good sense or judgement; unwise.,,0
Small/Trivial,5,3,,Of little value or importance.,,0
rude,6,1,,Offensively impolite or bad-mannered.,,0
vernacular,6,1,,The language or dialect spoken by the ordinary people in a particular country or region.,,0
presage,6,1,,"Be a sign or warning of (an imminent event, typically an unwelcome one)",,0
destroy,6,2,,End the existence of (something) by damaging or attacking it.,,0
district,6,2,,"An area of a country or city, especially one characterized by a particular feature or activity.",,0
farce,6,2,,A comic dramatic work using buffoonery and horseplay and typically including crude characterization and ludicrously improbable situations.,,0
keen,6,3,,Having or showing eagerness or enthusiasm.,,0
grim,6,3,,Very serious or gloomy.,,0
adversary,6,3,,"One's opponent in a contest, conflict, or dispute.",,0
shocking bad,6,3,,Very vivid or intense in tone,,0
control,7,1,,The power to influence or direct people's behaviour or the course of events.,,0
judge,7,1,,A public officer appointed to decide cases in a law court.,,0
disturb,7,2,,Interfere with the normal arrangement or functioning of.,,0
weak,7,2,,Lacking the power to perform physically demanding tasks; having little physical strength or energy.,,0
unsure,7,3,,"Not feeling, showing, or done with confidence and certainty.",,0
careless,7,3,,Not giving sufficient attention or thought to avoiding harm or errors.,,0
promote,8,1,,"Support or actively encourage (a cause, venture, etc.); further the progress of.",,0
alien,8,1,,Belonging to a foreign country.,,0
tale,8,1,,"A fictitious or true narrative or story, especially one that is imaginatively recounted.",,0
accurate,8,1,,"(especially of information, measurements, or predictions) correct in all details; exact.",,0
breach,8,2,,"An act of breaking or failing to observe a law, agreement, or code of conduct.",,0
charge,8,2,,Demand (an amount) as a price for a service rendered or goods supplied.,,0
dull,8,2,,Lacking interest or excitement.,,0
perpetual,8,2,,Never ending or changing.,,0
comparable,8,3,,Able to be likened to another; similar.,,0
eclipse,8,3,,shadowing of the sun,,0
skill,8,3,,The ability to do something well; expertise.,,0
primitive,8,3,,"Relating to, denoting, or preserving the character of an early stage in the evolutionary or historical development of something.",,0
impenetrable,9,1,,Impossible to pass through or enter.,,0
acerbic,9,1,,(especially of a comment or style of speaking) sharp and forthright.,,0
icy,9,1,,Covered with or consisting of ice.,,0
indifferent,9,1,,Having no particular interest or sympathy; unconcerned.,,0
mockery,9,2,,Teasing and contemptuous language or behaviour directed at a particular person or thing.,,0
admit,9,2,,Confess to be true or to be the case.,,0
remedy,9,2,,A medicine or treatment for a disease or injury.,,0
proper,9,2,,Denoting something that is truly what it is said or regarded to be; genuine.,,0
copy,9,3,,A thing made to be similar or identical to another.,,0
provoke,9,3,,"Stimulate or give rise to (a reaction or emotion, typically a strong or unwelcome one) in someone.",,0
hunch,9,3,,Raise (one's shoulders) and bend the top of one's body forward.,,0
fascinate,9,3,,Attract the strong attention and interest of (someone),,0